Date, 08/27/2014
Georgia State, 38, Abilene Christian, 37
Date, 08/28/2014
Texas A&M, 52, South Carolina, 28
Louisiana-Monroe, 17, Wake Forest, 10
Minnesota, 42, Eastern Illinois, 20
Akron, 41, Howard, 0
Northern Illinois, 55, Presbyterian, 3
Central Michigan, 20, Chattanooga, 16
Utah, 56, Idaho State, 14
Ole Miss, 35, Boise State, 13
New Mexico State, 28, Cal Poly, 10
Tulsa, 38, Tulane, 31
Rutgers, 41, Washington State, 38
San Jose State, 42, North Dakota, 10
Arizona State, 45, Weber State, 14
Temple, 37, Vanderbilt, 7
Date, 08/29/2014
BYU, 35, Connecticut, 10
Michigan State, 45, Jacksonville State, 7
Syracuse, 27, Villanova, 26
Western Kentucky, 59, Bowling Green, 31
Colorado State, 31, Colorado, 17
UTSA, 27, Houston, 7
Arizona, 58, UNLV, 13
Date, 08/30/2014
Penn State, 26, UCF, 24
Ohio State, 34, Navy, 17
UCLA, 28, Virginia, 20
Pittsburgh, 62, Delaware, 0
Michigan, 52, Appalachian State, 14
North Dakota State, 34, Iowa State, 14
Illinois, 28, Youngstown State, 17
Indiana, 28, Indiana State, 10
Iowa, 31, Northern Iowa, 23
Purdue, 43, Western Michigan, 34
UAB, 48, Troy, 10
Kentucky, 59, Tennessee-Martin, 14
Georgia Tech, 38, Wofford, 19
North Carolina State, 24, Georgia Southern, 23
Ball State, 30, Colgate, 10
Air Force, 44, Nicholls State, 16
Nevada, 28, Southern Utah, 19
Boston College, 30, Massachusetts, 7
Alabama, 33, West Virginia, 23
Notre Dame, 48, Rice, 17
Nebraska, 55, Florida Atlantic, 7
Missouri, 38, South Dakota State, 18
Maryland, 52, James Madison, 7
California, 31, Northwestern, 24
Buffalo, 38, Duquesne, 28
Old Dominion, 41, Hampton, 28
Marshall, 42, Miami (OH), 27
Auburn, 45, Arkansas, 21
Stanford, 45, UC Davis, 0
Wyoming, 17, Montana, 12
Oregon State, 29, Portland State, 14
Virginia Tech, 34, William & Mary, 9
Georgia, 45, Clemson, 21
North Carolina, 56, Liberty, 29
Duke, 52, Elon, 13
Ohio, 17, Kent State, 14
Eastern Michigan, 31, Morgan State, 28
Oklahoma, 48, Louisiana Tech, 16
Toledo, 54, New Hampshire, 20
Middle Tennessee, 61, Savannah State, 7
Bethune-Cookman, 14, Florida International, 12
San Diego State, 38, Northern Arizona, 7
Memphis, 63, Austin Peay, 0
South Florida, 36, Western Carolina, 31
TCU, 48, Samford, 14
Texas Tech, 42, Central Arkansas, 35
Arkansas State, 37, Montana State, 10
Louisiana-Lafayette, 45, Southern University, 6
Texas State, 65, Arkansas-Pine Bluff, 0
Kansas State, 55, Stephen F. Austin, 16
USC, 52, Fresno State, 13
Mississippi State, 49, Southern Miss, 0
Florida State, 37, Oklahoma State, 31
UTEP, 31, New Mexico, 24
Texas, 38, North Texas, 7
East Carolina, 52, NC Central, 7
LSU, 28, Wisconsin, 24
Oregon, 62, South Dakota, 13
Washington, 17, Hawaii, 16
Date, 08/31/2014
Tennessee, 38, Utah State, 7
Baylor, 45, SMU, 0
Date, 09/01/2014
Louisville, 31, Miami (FL), 13
